"Identificador de URL";Nombre;Categorías;Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en mi tienda en línea";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
398;"Yeso Piedra Amarillo ELITE 1kg";YESOS;5,500.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
316-1;"Yeso Extraduro Tipo IV Velmix Stone";YESOS;6,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;NO;;;;
40;"Yeso Extraduro";YESOS;5,000.00;;0.00;0.00;0.00;0.00;15;;;SÍ;NO;;;;;;SÍ;;;;
39-1;"Yeso Duro Marca Moldastone M&M";YESOS;4,500.00;;0.00;0.00;0.00;0.00;4;;;SÍ;NO;;;;;;SÍ;;;;
420-3;"Cono Papel #15 Gapadent";YESOS;3,500.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
416;"Sellante de Fotocurado 3M ESPE CONCISE";RESINA;26,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
177;"Sellador Permaseal. Ultradent";RESINA;23,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
297-5;"Resina Harmonize Kerr A3E 4mg";RESINA;33,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
297-3;"Resina Harmonize Kerr A3D 4mg.";RESINA;33,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
297-4;"Resina Harmonize Kerr A3,5D 4mg";RESINA;32,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
297-2;"Resina Harmonize Kerr A2D 4mg.";RESINA;33,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
297;"Resina Harmonize A2E. Kerr";RESINA;33,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
148-4;"Resina Forma Zirconia Opaquer. Ultradent";RESINA;29,590.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
148-9;"Resina Fluida Prime Dental 2G A3";RESINA;8,900.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
148-3;"Resina Fluida I-Flow A3";RESINA;11,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
66481;"Resina Fluida 3M Bulk Fill A-3 Bolsa 2 Unidades";RESINA;40,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
12193790;"Resina Fluida 3M Bulk Fill A-2 Bolsa 2 Unidades";RESINA;40,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
148;"Resina Flow Composite Revolucion A3 Jeringa 2g. Kerr";RESINA;18,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
148-1;"Resina Flow Composite Revolucion A2 Jeringa 2g. Kerr";RESINA;18,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
7899633826308;"Resina Compuesta Unicromatica Vittra Unique Fgm";RESINA;37,990.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
439-2;"Resina Compuesta Simile A3,5 Jeringa 4Grs Kerr";RESINA;20,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
439-1;"Resina Compuesta Simile A2 Jeringa 4Grs Kerr";RESINA;20,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
7899633822683;"Primma Art A2 - Resina Bisacrilica Jeringa Cuerpo Doble 7G";RESINA;24,890.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
791;"Pernos Fibra Lyspost #1";RESINA;9,800.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
7898288146861;"Pernos Fibra Kit Mixtos Lyspost 6 Unidades";RESINA;11,500.00;;0.00;0.00;0.00;0.00;3;;;SÍ;NO;;;;;;SÍ;;;;
7898561542151;"Perno Fibra De Vidrio #1 Maquira";RESINA;9,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
585;"Microbrush Blanco Perlado Fino";RESINA;3,000.00;;0.00;0.00;0.00;0.00;4;;;SÍ;NO;;;;;;SÍ;;;;
525;"Microbrush Amarillo Fino 1,5";RESINA;3,000.00;;0.00;0.00;0.00;0.00;10;;;SÍ;NO;;;;;;SÍ;;;;
525-3;"Micro Aplicadores Marca Azul";RESINA;3,000.00;;0.00;0.00;0.00;0.00;6;;;SÍ;NO;;;;;;SÍ;;;;
291;"Kit Resina Harmonize 4 Jeringas. Kerr";RESINA;50,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
567;"Kit Matrices Cervicales Transparentes. Kerr";RESINA;28,990.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
7898229800975;"Huincha Lija Papel 2.5mm Microdont 50 Unidades";RESINA;4,390.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
334-1;"Adhesivo Universal 3ml. Single Bond 3m";RESINA;30,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
340;"Adhesivo Stickers En Relieve Muelita X 1 Lamina";RESINA;1,390.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
293;"Adhesivo Optibond Universal Kerr 5ml";RESINA;36,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
7899633815913;"Adhesivo Ambar APS 6ml";RESINA;24,800.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
210;"3M Z350XT COLOR A3,5 JERINGA 4GR";RESINA;35,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
211-1;"3M Z350XT COLOR A3 JERINGA 4GR";RESINA;35,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
212;"3M Z350XT COLOR A2 JERINGA 4GR";RESINA;35,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
211-3;"3M Z350 XT COLOR A1 B";RESINA;35,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
387-3;"Sistema De Pulido Y Acabado 1 Paso Marca Skydent";PULIDO;12,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
387-7;"Sistema De Pulido Acabado 1step Por Unidad Marca Skydent";PULIDO;1,200.00;;0.00;0.00;0.00;0.00;7;;;SÍ;NO;;;;;;SÍ;;;;
4976-2;"PIMPOLLO CARBURO MARCA SKYDENT COLOR ROJO";PULIDO;7,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
4976-3;"PIMPOLLO CARBURO MARCA SKYDENT COLOR AZUL";PULIDO;7,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
4976-1;"PIMPOLLO CARBURO MARCA SKYDENT COLOR AMARILLO";PULIDO;7,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
175;"Piedras Montadas Blanca ,Rosada ,Azul";PULIDO;1,000.00;;0.00;0.00;0.00;0.00;4;;;SÍ;NO;;;;;;SÍ;;;;
135-2;"Papel Articular Marca Skydent";PULIDO;5,500.00;;0.00;0.00;0.00;0.00;3;;;SÍ;NO;;;;;;SÍ;;;;
387-2;"Kit Pulido De Porcelana Skydent";PULIDO;12,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
387-1;"Kit Pulido De Acrilico";PULIDO;12,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
7898229801323;"Huincha Lija Papel 4mm Microdont 50 Unidades";PULIDO;4,990.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
7898288148018;"Huincha Lija Papel 4mm Lysanda 150 Unidades";PULIDO;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
7908783201627;"Huincha Lija Metalica Lysanda 4mm";PULIDO;5,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
174;"Gomas Para Pulir Twist";PULIDO;3,900.00;;0.00;0.00;0.00;0.00;5;;;SÍ;NO;;;;;;SÍ;;;;
70-2014-0240-4;"Gomas Para Pulir Sof-Lex 3M espe Espiral Sistema De Pulido De Diamante";PULIDO;32,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
4922;"Gomas Para Pulir Identoflex";PULIDO;1,800.00;;0.00;0.00;0.00;0.00;5;;;SÍ;NO;;;;;;SÍ;;;;
172-1;"Gomas Para Pulir ENHANCE P/U.";PULIDO;3,000.00;;0.00;0.00;0.00;0.00;3;;;SÍ;NO;;;;;;SÍ;;;;
4921;"Gomas Para Pulir . Identoflex Kerr";PULIDO;15,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
174-1;"Fileltro Skydent Mini";PULIDO;900.00;;0.00;0.00;0.00;0.00;6;;;SÍ;NO;;;;;;SÍ;;;;
174-2;"Fileltro Montado Skydent";PULIDO;1,200.00;;0.00;0.00;0.00;0.00;3;;;SÍ;NO;;;;;;SÍ;;;;
410;"Escobilla Pulidoocclubrush Copa X10 Unid";PULIDO;20,400.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
452-8;"Discos Soflex 3M. 30 Unidades. Negro , Azul Y Celeste";PULIDO;16,500.00;;0.00;0.00;0.00;0.00;3;;;SÍ;NO;;;;;;SÍ;;;;
387-5;"Discos De Cortorneado Y Pulido 12,7 Mm. Marca Skydent";PULIDO;12,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
387-4;"Discos De Cortorneado Y Pulido 12,5 Mm. Marca Skydent";PULIDO;12,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
105;"Discos Carburumdun";PULIDO;600.00;;0.00;0.00;0.00;0.00;17;;;SÍ;NO;;;;;;SÍ;;;;
1102;"Gutapercha Barra Rite Dent. 10unidades";PROVISORIOS;5,790.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
501-1;"Dientes Vipi Dent Ant Sup 38 - B1";PROVISORIOS;4,900.00;;0.00;0.00;0.00;0.00;3;;;SÍ;NO;;;;;;SÍ;;;;
501-10;"Dientes Newcryl Post. Sup 30L - B3";PROVISORIOS;4,900.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
501-7;"Dientes Newcryl Ant. Sup 266 - A3";PROVISORIOS;4,900.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-39;"Dientes Marche R Ant. Inferior 47";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-33;"Dientes Marche R Ant. Inferior 46";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-C;"Dientes Marche R Ant. Inferior 42";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-23;"Dientes Marche R Ant. Inferior 41";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-54;"Dientes Marche Post.Inf L34 Color 58";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-53;"Dientes Marche Post.Inf G34 Color 58";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-H;"Dientes Marche Post-Sup. Superior 30G , 47";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-32;"Dientes Marche M Ant. Inferior 46";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-27;"Dientes Marche M Ant. Inferior 45";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-D;"Dientes Marche M Ant. Inferior 42";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-22;"Dientes Marche M Ant. Inferior 41";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;4;;;SÍ;NO;;;;;;SÍ;;;;
320-46;"Dientes Marche M Ant. Inf. 58";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-G;"Dientes Marche K Ant. Inferior 47";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-I;"Dientes Marche H Ant. Inferior 45";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-M;"Dientes Marche H Ant. Inf. 58";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-75;"Dientes Marche G Ant Inf 45";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-K;"Dientes Marche Ant.Sup. 20 Color 58";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-L;"Dientes Marche Ant.Sup. 16 Color 58";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-J;"Dientes Marche Ant. Sup 23 Color 58";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-47;"Dientes Marche Ant. Inf R Color 58";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;3;;;SÍ;NO;;;;;;SÍ;;;;
320-41;"Dientes Marche 8 Ant. Superior 47";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-16;"Dientes Marche 34L Post. Superior 46";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-3;"Dientes Marche 34L Post. Superior 45";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-9;"Dientes Marche 34L Post. Inferior 47";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-8;"Dientes Marche 34L Post. Inferior 41";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;3;;;SÍ;NO;;;;;;SÍ;;;;
320-E;"Dientes Marche 34G Post. Superior 46";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-73;"Dientes Marche 34G Post. Superior 45";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-F;"Dientes Marche 34G Post. Inferior 46";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-18;"Dientes Marche 32M Post. Superior 46";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-74;"Dientes Marche 32M Post. Inf 45";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-11;"Dientes Marche 32L Post. Superior 47";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-81;"Dientes Marche 32L Post. Superior 42";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-5;"Dientes Marche 32L Post. Superior 41";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-6;"Dientes Marche 32L Post. Inferior 41";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-45;"Dientes Marche 32G Post.Sup.58";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-B;"Dientes Marche 32G Post. Superior 42";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-95;"Dientes Marche 32G Post. Sup.45";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-77;"Dientes Marche 32G Post. Inferior 42";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;3;;;SÍ;NO;;;;;;SÍ;;;;
320-49;"Dientes Marche 32G Post. Inf.58";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-93;"Dientes Marche 32G Post. Inf 47";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-78;"Dientes Marche 30L Post. Inferior 46";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-N;"Dientes Marche 34L Post.Sup.58";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-79;"Dientes Marche 30G Post. Inferior 42";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-50;"Dientes Marche 28 Ant. Superior 46";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-60;"Dientes Marche 27 Ant. Superior 46";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
320-55;"Dientes Marche 25 Antero Sup. Color 46";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-35;"Dientes Marche 23 Ant. Superior 47";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
320-29;"Dientes Marche 23 Ant. Superior 46";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
320-76;"Dientes Marche 23 Ant. Superior 42";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
320-36;"Dientes Marche 20 Ant. Superior 47";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
320-30;"Dientes Marche 20 Ant. Superior 46";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-25;"Dientes Marche 20 Ant. Superior 45";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-A;"Dientes Marche 20 Ant. Superior 42";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-20;"Dientes Marche 20 Ant. Superior 41";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;3;;;SÍ;NO;;;;;;SÍ;;;;
320-88;"Dientes Marche 12 Ant. Superior 41";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-37;"Dientes Marche 10 Ant. Superior 47";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
320-26;"Dientes Marche 10 Ant. Superior 45";PROVISORIOS;5,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
321-4;"Dientes Acrilico Vivid L501 A3";PROVISORIOS;2,990.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
321-3;"Dientes Acrilico Vivid L501 A2";PROVISORIOS;2,990.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
321-9;"Dientes Acrilico Vivid 37U A2";PROVISORIOS;2,990.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
321-6;"Dientes Acrilico Vivid 36L A3";PROVISORIOS;2,990.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
321-7;"Dientes Acrilico Vivid 36L A2";PROVISORIOS;2,990.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
321-1;"Dientes Acrilico Vivid L503 A2";PROVISORIOS;2,990.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
447-2;"Acrilico Termocurable Rosado Tipo 1 Y 2 Marche 250 Gr";PROVISORIOS;8,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
138-2;"Vaso Dappen De Silicona Chico";PLASTICO;1,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
267;"Separador Labial Abreboca Doble (S-M-L)";PLASTICO;3,000.00;;0.00;0.00;0.00;0.00;6;;;SÍ;NO;;;;;;SÍ;;;;
4893;"Lente Protector Transparente";PLASTICO;1,990.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
318-5;"Lamina De Acetato Transparente.Rigida 2.0 Por Unidad (Plano De Relajaciňn) Skydent";PLASTICO;2,500.00;;0.00;0.00;0.00;0.00;10;;;SÍ;NO;;;;;;SÍ;;;;
318-6;"Lamina De Acetato Transparente.Rigida 2.0 Paquete 10u Skydent";PLASTICO;15,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
318-4;"Lamina De Acetato Transparente.Rigida 1.0 Por Unidad (Plano De Relajaciňn) Skydent";PLASTICO;2,000.00;;0.00;0.00;0.00;0.00;14;;;SÍ;NO;;;;;;SÍ;;;;
318-61;"Lamina De Acetato 2.0 Rigida X Unidad";PLASTICO;2,000.00;;0.00;0.00;0.00;0.00;6;;;SÍ;NO;;;;;;SÍ;;;;
333;"Lamina De Acetato 1mm Blanda";PLASTICO;2,000.00;;0.00;0.00;0.00;0.00;8;;;SÍ;NO;;;;;;SÍ;;;;
318-91;"Lamina De Acetato 1.5 Rigida X Unidad Skydent";PLASTICO;1,500.00;;0.00;0.00;0.00;0.00;14;;;SÍ;NO;;;;;;SÍ;;;;
19;"Espatula Para Alguinato";PLASTICO;1,890.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
789;"Celuloide Tira Poliester Lysanda";PLASTICO;1,500.00;;0.00;0.00;0.00;0.00;5;;;SÍ;NO;;;;;;SÍ;;;;
442;"Cajas Porta Modelo Delgadas Dentbys. Denture Box (Colores Surtidos)";PLASTICO;1,990.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
314;"Cajas Porta Modelo Delgadas Cotisen (Colores Surtidos)";PLASTICO;1,000.00;;0.00;0.00;0.00;0.00;10;;;SÍ;NO;;;;;;SÍ;;;;
7;"Cajas Porta Modelo Alta Cotisen (Colores Surtidos)";PLASTICO;1,000.00;;0.00;0.00;0.00;0.00;12;;;SÍ;NO;;;;;;SÍ;;;;
23;"Taza De Goma Cotisen";OTROS;1,990.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
7805232761124;"Solvente Para Quemar";OTROS;3,500.00;;0.00;0.00;0.00;0.00;4;;;SÍ;NO;;;;;;SÍ;;;;
709-1;"Rx Periapical";OTROS;3,000.00;;0.00;0.00;0.00;0.00;100;;;SÍ;NO;;;;;;SÍ;;;;
709;"Rx Panorŕmica";OTROS;12,000.00;;0.00;0.00;0.00;0.00;99;;;SÍ;NO;;;;;;SÍ;;;;
